player,team,team_conf,fip_num,rating_adjustment,conf_diff,adj_fip_num,IP,FIP,adj_FIP
"Bigham, Eden",Virginia,Virginia,4,42.17343724997936,-0.32003117145303384,-38.49346842143239,146.7,2.688591157185985,2.398928795758361
"Newman, Josie",Southern Ind.,Southern Ind.,-66,-12.984299007864125,-0.625361387711807,-53.64106237984768,229.3,2.3734920930534527,2.4273906435120325
"Beaver, Kayla",Alabama,Alabama,-2,39.11802570375048,-1.27124177844653,-42.38926748219701,186.5,2.6506007662621576,2.434036329360297
"Mitchell, Karyana",Lamar University,Lamar University,-29,-5.137468177448996,-1.062580374087641,-24.925112196638647,112.5,2.4035468490741922,2.4397680739929597
"Bertuccio, Marissa",Sacramento St.,Sacramento St.,-23,8.699811458073352,0.32040842944873155,-31.37940302862462,142.1,2.499466780265059,2.440498426791276
"Kniesche, Tori",South Dakota St.,South Dakota St.,-34,-3.370528802164602,0.17553714407668722,-30.453934053758708,153.5,2.439826255516465,2.462927662332369
"Wilken, Alivia",North Ala.,North Ala.,-53,-16.659532717757738,-0.3123794230372871,-36.65284670527954,185.6,2.3757642820243836,2.463841616586455
"Rutan, Maddi",Eastern Ky.,Eastern Ky.,-52,-16.556718997334468,-0.4671525614948959,-35.91043356416043,186.1,2.381904960006188,2.4683615233368683
"Tinsley, Taylor",UCLA,UCLA,26,49.95026106479816,-0.18033811194401467,-24.130599176742177,138.4,2.8491858985282703,2.48697058655759
"Blanchard, Cera",Southeastern La.,Southeastern La.,-29,-4.266928157594502,-0.5840610446360347,-25.31713288704153,148.5,2.4660384315657744,2.490838883504889
"Lemley, Emma",Virginia Tech,Virginia Tech,-9,6.487704975468936,-0.32571866406084526,-15.813423639529782,125,2.58932462685197,2.534817237735732
"Aholelei, Primrose",A&M-Corpus Christi,A&M-Corpus Christi,-42,-21.404457262038633,-1.0142703570286424,-21.60981309499001,172.8,2.4182690712964146,2.5362678381078148
"Wardlaw, Emma",Lamar University,Lamar University,-20,-4.869572349764254,-1.1904979222117482,-16.320925572447493,135.6,2.5138320014832383,2.5409638187955723
"Gilmore, Taylor",Fresno St.,Fresno St.,-8,8.93207421699383,-0.04219920476213486,-16.974273421755964,161.1,2.6116660297073393,2.555959801142746
"Lamb, Nealy",Charleston So.,Charleston So.,-22,-9.665512910192692,0.27983436391237126,-12.054652725894936,134.4,2.4976341506614936,2.5716322702604897
"Meylan, Ruby",Washington,Washington,20,24.647876517717236,-0.3266728682287663,-4.974549385946003,129.5,2.8157647812921245,2.6229111180801863
"Hughes, Zoryana",Florida A&M,Florida A&M,-13,-8.314606748725039,0.1754169465526211,-4.50997630472234,144,2.5710468490741922,2.6300053469580646
"Axelson, Margaret",Wofford,Wofford,-12,-9.580622724263645,0.023125539193370057,-2.396251736542985,120.5,2.561739564611306,2.641438720324642
"Edwards, Clara",South Dakota,South Dakota,-14,-14.228208874636028,-0.005487176424960136,0.22272169821106788,153.6,2.5701787935186364,2.6627746379080315
"Bailitz, Sarah",Dayton,Dayton,-7,-7.766236601708601,0.35880564238922985,1.1250422440978312,114.9,2.600402085511674,2.6711161172270597
"McNeill, Audrey",Nicholls,Nicholls,0,-3.2092683852166446,-0.7204087424914849,2.48885964272516,156.9,2.66132462685197,2.6771873396800463
"Winburn, Emily",Delaware,Delaware,-3,-10.641330729180481,0.1820085316741609,7.823339260854643,203,2.6465463017288173,2.699863243900515
"Jacquez, Larissa",UIW,UIW,-11,-17.705977914775445,-1.1462005563343263,5.559777358441119,120,2.569657960185303,2.7076561048389793
"Lucyshyn, Alexis",Buffalo,Buffalo,-10,-16.493003183101578,0.49917261307461613,6.992175796176195,142.2,2.5910011388069627,2.7104960459530685
